word	phon
madam	'm{-d@m
madame	'm{-d@m
made	'm1d
make	'm1k
makes	'm1ks
making	'm1-kIN
man	'm{n
man-sized	'm{n-s2zd
manage	'm{-nI_
managed	'm{-nI_d
managing	'm{-nI-_IN
many	'mE-nI
margarine	"m#-_@-'rin
mark	'm#k
mat	'm{t
match	'm{J
mates	'm1ts
mats	'm{ts
matter	'm{-t@R
may	'm1
maybe	'm1-bi
me	'mi
meal	'mil
mean	'min
means	'minz
measy	'mi-zI
medium	'mi-dj@m
meringue	m@-'r{N
mess	'mEs
messed	'mEst
messing	'mE-sIN
messy	'mE-sI
microphone	'm2-kr@-f5n
middle	'mI-dP
midwife	'mId-w2f
might	'm2t
mike	'm2k
milk	'mIlk
milky	'mIl-kI
mind	'm2nd
minute	'mI-nIt
minutes	'mI-nIts
miringue	m@-'r{N
misery	'mI-z@-rI
miss	'mIs
missed	'mIst
mix	'mIks
mixing	'mIk-sIN
mm	'm
moan	'm5n
moaning	'm5-nIN
mobile	'm5-b2l
mobile's	'm5-b2lz
moment	'm5-m@nt
monday	'mVn-dI
money	'mV-nI
monkey	'mVN-kI
monkey's	'mVN-kIz
mood	'mud
moose	'mus
mop	'mQp
more	'm$R
morning	'm$-nIN
most	'm5st
mother	'mV-D@R
mouse	'm6s
mouth	'm6T
mouthful	'm6T-fUl
move	'muv
mr	'mI-st@R
much	'mVJ
mucky	'mV-kI
mum	'mVm
mum's	'mVmz
mumma	'mV-m@
mummy	'mV-mI
mummy'll	'mV-mI-@l
mummy's	'mV-mIz
mums	'mVmz
music	'mju-zIk
must	'mVst
my	'm2
myron	'2-r@n
myron's	'2-r@nz
n't	Ht
n'ta	H-t@
nails	'n1lz
nap	'n{p
nappies	'n{-pIz
napps	'n{ps
nappy	'n{-pI
nasty	'n#-stI
natasha	n@-'t#-S@
natasha's	n@-'t#-S@z
natural	'n{-Jr@l
naughty	'n$-tI
near	'n7R
nearly	'n7-lI
neasy	'ni-zI
neck	'nEk
necklace	'nEk-lIs
need	'nid
needs	'nidz
never	'nE-v@R
nevermind	'nE-v@R-'m2nd
new	'nju
newspaper	'njus-"p1-p@R
newspapers	'njus-"p1-p@z
next	'nEkst
nibble	'nI-bP
nice	'n2s
nicely	'n2s-lI
nicer	'n2-s@R
nicky	'nI-kI
night	'n2t
nightnight	'n2t-'n2t
nine	'n2n
no	'n5
nobody's	'n5-b@-dIz
noise	'n4z
noises	'n4-zIz
none	'nVn
normally	'n$-m@-lI
nose	'n5z
nosey	'n5-zI
nosh	'nQS
not	'nQt
nother	'nV-D@R
nothing	'nV-TIN
notice	'n5-tIs
nottingham	'nQ-tIN-@m
now	'n6
nowadays	'n6-@-d1z
nuddy	'nV-dI
nuisance	'nju-sHs
o'clock	@-'klQk
occupied	'Q-kjU-p2d
of	@v
off	'Qf
oggle	'5-gP
oh	'5
oh-oh	'5-'5
oi	'4
oil	'4l
okay	"5-'k1
old	'5ld
on	'Qn
once	'wVns
one	'wVn
one'll	'V-nP
one's	'wVnz
ones	'wVnz
only	'5n-lI
ooh	'u
ooops	'ups
oop	'up
oops	'Ups
oops-a-daisy	"Ups-@-'d1-zI
open	'5-p@n
or	@R
orchestra	'$-kIs-tr@
other	'V-D@R
ought	'$t
ounces	'6n-sIz
our	'6-@R
out	'6t
outside	"6t-'s2d
oven	'V-vH
over	'5-v@R
ow	'6
own	'5n
packet	'p{-kIt
packing	'p{-kIN
paddy	'p{-dI
page	'p1_
painful	'p1n-fUl
pains	'p1nz
pants	'p{nts
paper	'p1-p@R
papers	'p1-p@z
pardon	'p#-dH
parents	'p8-r@nts
parrot	'p{-r@t
parrot's	'p{-r@ts
parrots	'p{-r@ts
past	'p#st
pastry	'p1s-trI
pat	'p{t
pat-a-cake	'p{-tI-'k1k
patch	'p{J
patting	'p{-tIN
paws	'p$z
peace	'pis
peck	'pEk
peculiar	pI-'kju-lj@R
peed	'pid
peeing	'pi-IN
peek-a-boo	'pi-k@-'bu
peek-boo	'pi-'bu
penny	'pE-nI
people	'pi-pP
peoples	'pi-pPz
perch	'p3J
perform	p@-'f$m
performing	p@-'f$-mIN
perhaps	p@-'h{ps
person	'p3-sH
persuade	p@-'sw1d
pet	'pEt
petal	'pE-tP
phew	'fju
phone	'f5n
pick	'pIk
picked	'pIkt
pictures	'pIk-J@z
pie	'p2
pin	'pIn
pinch	'pInJ
pinching	'pIn-JIN
place	'pl1s
plants	'pl#nts
plastic	'pl{-stIk
play	'pl1
playing	'pl1-IN
playmate	'pl1-m1t
plays	'pl1z
please	'pliz
pleased	'plizd
plenty	'plEn-tI
plug	'plVg
point	'p4nt
poke	'p5k
poley	'p5-lI
polly	'pQ-lI
polly'd	'pQ-lId
polly's	'pQ-lIz
pollyleemy	'pQ-lI-'li-mI
pony	'p5-nI
pooh	'phu
poopsie	'pup-sI
poor	'p$R
pop	'pQp
popeye	'pQp-2
poppers	'pQ-p@z
poppit	'pQ-pIt
pops	'pQps
potimus	'pQ-t@-m@s
pots	'pQts
potty	'pQ-tI
pound	'p6nd
pour	'p$R
powder	'p6-d@R
praise	'pr1z
pram	'pr{m
precious	'prE-S@s
pregnant	'prEg-n@nt
present	'prE-zHt
presto	'prE-st5
pretend	prI-'tEnd
pretty	'prI-tI
price	'pr2s
privilege	'prI-vI-lI_
problems	'prQ-bl@mz
prop	'prQp
proper	'prQ-p@R
properly	'prQ-p@-lI
prove	'pruv
proving	'pru-vIN
pudding	'pU-dIN
pull	'pUl
pulling	'pU-lIN
punch	'pVnJ
pup	'pVp
puppet	'pV-pIt
push	'pUS
pushed	'pUSt
puss	'pUs
pussy	'pU-sI
pussycat	'pU-sI-k{t
put	'pUt
putting	'pU-tIN
quack	'kw{k
quick	'kwIk
quiet	'kw2-@t
quite	'kw2t
rabbit	'r{-bIt
radio	'r1-dI-5
rain	'r1n
raining	'r1-nIN
rarely	'r8-lI
rascal	'r#s-k@l
raspberry	'r#z-b@-rI
rattle	'r{-tP
rattles	'r{-tPz
rattling	'r{-tP-IN
reach	'riJ
read	'rid
reading	'ri-dIN
ready	'rE-dI
real	'r7l
realized	'r7-l2zd
really	'r7-lI
recipe	'rE-sI-pI
reckon	'rE-k@n
record	'rE-k$d
red	'rEd
reflection	rI-'flEk-SH
relax	rI-'l{ks
remember	rI-'mEm-b@R
rest	'rEst
restless	'rEst-lIs
revolting	rI-'v5l-tIN
rewind	'rI-'w2nd
ribbon	'rI-b@n
rich	'rIJ
rid	'rId
right	'r2t
ring	'rIN
rip	'rIp
ripped	'rIpt
roley	'r5-lI
roll	'r5l
rolling	'r5-lIN
romans	'r5-m@nz
roof	'ruf
room	'rum
rotten	'rQ-tH
rough	'rVf
round	'r6nd
rub	'rVb
rubbers	'rV-b@z
rubbing	'rV-bIN
rude	'rud
rug	'rVg
rules	'rulz
rumbling	'rVm-blIN
runs	'rVnz
rusk	'rVsk
rusky	'rVs-kI
sack	's{k
sackcloth	's{k-klQT
sad	's{d
said	'sEd
salad	's{-l@d
same	's1m
sang	's{N
satisfy	's{-tIs-f2
saturday	's{-t@-dI
saucepan	's$s-p@n
sausage	'sQ-sI_
saw	's$
say	's1
saying	's1-IN
says	's1z
scalp	'sk{lp
school	'skul
scream	'skrim
screaming	'skri-mIN
screwing	'skru-IN
scruffs	'skrVfs
sea	'si
seaside	'si-s2d
seatbelt	'sit-'bElt
second	'sE-k@nd
seconds	'sE-k@ndz
see	'si
seef	'sif
seeing	'si-IN
seen	'sin
self	'sElf
sell	'sEl
send	'sEnd
sending	'sEn-dIN
sent	'sEnt
serious	's7-r7s
servants	's3-v@nts
sew	's5
sewing	's5-IN
sh	S
shake	'S1k
shakes	'S1ks
shaking	'S1-kIN
shall	'S{l
shame	'S1m
shan't	'S#nt
sharp	'S#p
shawl	'S$l
she	'Si
she'll	'Sil
she's	'Siz
sheets	'Sits
shining	'S2-nIN
shirt	'S3t
shirts	'S3ts
shoes	'Suz
shoo	'Su
shoot	'Sut
shooting	'Su-tIN
should	'SUd
shoulder	'S5l-d@R
shouldn't	'SU-dHt
shout	'S6t
shouter	'S6-t@R
shouting	'S6-tIN
show	'S5
showing	'S5-IN
shrew	'Sru
shunting	'SVn-tIN
shush	'SUS
shut	'SVt
shy	'S2
sick	'sIk
sickly	'sIk-lI
sicky	'sI-kI
side	's2d
sides	's2dz
sigh	's2
silent	's2-l@nt
silly	'sI-lI
sing	'sIN
sister	'sI-st@R
sit	'sIt
sitting	'sI-tIN
sixteen	"sIks-'tin
size	's2z
sized	's2zd
skirt	'sk3t
sky	'sk2
sleep	'slip
sleeping	'sli-pIN
sleepy	'sli-pI
slept	'slEpt
slid	'slId
slide	'sl2d
slightest	'sl2-tIst
slip	'slIp
slipping	'slI-pIN
sloppy	'slQ-pI
slow	'sl5
smacking	'sm{-kIN
smell	'smEl
smelly	'smE-lI
smile	'sm2l
smiles	'sm2lz
smiling	'sm2-lIN
smurf	'sm3f
snails	'sn1lz
sneeze	'sniz
sneezies	'sni-zI
sneezing	'sni-zIN
snooze	'snuz
snoozing	'snu-zIN
snorting	'sn$-tIN
snorty	'sn$-tI
so	's5
so's	's5z
soaked	's5kt
soaking	's5-kIN
soap	's5p
soapy	's5-pI
sober	's5-b@R
sock	'sQk
socks	'sQks
soft	'sQft
soiled	's4ld
solids	'sQ-lIdz
somat	's5-mQt
somat's	's5-mQts
some	s@m
somebody	'sVm-b@-dI
someone	'sVm-wVn
something	'sVm-TIN
somewhere	'sVm-w8R
song	'sQN
soon	'sun
sore	's$R
sorry	'sQ-rI
soul	's5l
sound	's6nd
sounds	's6ndz
spin	'spIn
